[清]_曹雪芹_著 《红楼梦》
余华 《活着》
[英]_乔治·奥威尔 《1984》
[哥伦比亚]_加西亚·马尔克斯 《百年孤独》
[美国]_玛格丽特·米切尔 《飘》
刘慈欣 《三体全集》
[明]_罗贯中 《三国演义（全二册）》
林奕含 《房思琪的初恋乐园》
[英]_乔治·奥威尔 《动物农场》
[英]_阿·柯南道尔 《福尔摩斯探案全集（上中下）》
[日]_东野圭吾 《白夜行》
[法]_圣埃克苏佩里 《小王子》
金庸 《天龙八部》
（丹麦）安徒生 《安徒生童话故事集》
三毛 《撒哈拉的故事》
[美]_乔治·R._R._马丁 《冰与火之歌（卷一）》
[美]_哈珀·李 《杀死一只知更鸟》
J.K.罗琳_(J.K.Rowling) 《哈利·波特》
王小波 《沉默的大多数》
当年明月 《明朝那些事儿（1-9）》
[法]_阿尔贝·加缪 《局外人》
路遥 《平凡的世界（全三部）》
钱锺书 《围城》
[以色列]_尤瓦尔·赫拉利 《人类简史》
[哥伦比亚]_加西亚·马尔克斯 《霍乱时期的爱情》
金庸 《笑傲江湖（全四册）》
鲁迅 《呐喊》
钱穆 《中国历代政治得失》
[美]_斯蒂芬·金 《肖申克的救赎》
[英]_毛姆 《月亮和六便士》
大仲马 《基督山伯爵》
[英]_阿加莎·克里斯蒂 《东方快车谋杀案》
[意]_埃莱娜·费兰特 《新名字的故事》
[意]_埃莱娜·费兰特 《失踪的孩子》
[美]_卡勒德·胡赛尼 《追风筝的人》
[美]_黄仁宇 《万历十五年》
费孝通 《乡土中国》
[美]_彼得·海斯勒 《江城》
陈忠实 《白鹿原》
林海音_文 《城南旧事》
[日]_东野圭吾 《嫌疑人X的献身》
史铁生 《我与地坛》
[美]_彼得·海斯勒 《寻路中国》
金庸 《射雕英雄传（全四册）》
[英]毛姆 《刀锋》
[德国]格林兄弟 《格林童话全集》
鲁迅 《野草》
[英]_奥斯丁 《傲慢与偏见》
王小波 《黄金时代》
[英]_阿加莎・克里斯蒂 《无人生还》
[英]_贡布里希_(Sir_E.H.Gombrich) 《艺术的故事》
鲁迅 《彷徨》
林达 《历史深处的忧虑》
[美]_傅高义 《邓小平时代》
木心_口述 《文学回忆录》
金庸 《神雕侠侣》
鲁迅 《朝花夕拾》
[俄]_费奥多尔·陀思妥耶夫斯基 《卡拉马佐夫兄弟》
司马迁 《史记（全十册）》
[意]_伊塔洛·卡尔维诺 《树上的男爵》
[法]_雨果 《悲惨世界（上中下）》
余华 《许三观卖血记》
曹天元 《上帝掷骰子吗》
白先勇 《台北人》
三毛 《哭泣的骆驼》
柴静 《看见》
[美]_卡勒德·胡赛尼 《灿烂千阳》
孔丘_编订 《诗经》
吴承恩 《西游记（全二册）》
[英]_阿加莎·克里斯蒂 《罗杰疑案》
吴军 《浪潮之巅》
[美]_艾萨克·阿西莫夫 《永恒的终结》
王国维 《人间词话》
[日]_黑柳彻子_著 《窗边的小豆豆》
(法)阿尔贝·加缪 《鼠疫》
[德]_赫尔曼·黑塞 《悉达多》
鲁迅 《故事新编》
[瑞典]_弗雷德里克·巴克曼 《一个叫欧维的男人决定去死》
杨绛 《我们仨》
王小波 《爱你就像爱生命》
[美]_阿图·葛文德（Atul_Gawande） 《最好的告别》
[英]_肯·福莱特 《巨人的陨落》
萧红 《呼兰河传》
黄元吉 《道德经》
蘅塘退士 《唐诗三百首》
[美]马里奥·普佐 《教父》
海子 《海子的诗》
[美]_约翰·威廉斯 《斯通纳》
[美]_塔拉·韦斯特弗 《你当像鸟飞往你的山》
[印]_罗宾德拉纳德·泰戈尔 《飞鸟集》
吴念真 《这些人，那些事》
金庸 《鹿鼎记（全五册）》
[英]_毛姆 《人生的枷锁》
[意]_伊塔洛·卡尔维诺 《看不见的城市》
李泽厚 《美的历程》
